timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710230100702,124,S01_JMT_T01_LaunchApplication,200,OK,Thread Group 1-1,text,true,,11199,343,1,1,http://localhost/,123,0,22
1710230100832,60,S01_JMT_T02_NavigateToTables,200,OK,Thread Group 1-1,text,true,,10099,536,1,1,http://localhost/tables,59,0,0
1710230105636,84,S01_JMT_T01_LaunchApplication,200,OK,Thread Group 1-2,text,true,,11199,343,2,2,http://localhost/,84,0,1
1710230105722,59,S01_JMT_T02_NavigateToTables,200,OK,Thread Group 1-2,text,true,,10099,536,2,2,http://localhost/tables,59,0,0
1710230110218,68,S01_JMT_T03_SelectATable,200,OK,Thread Group 1-1,text,true,,9773,563,2,2,http://localhost/products/living-room-table8,67,0,4
1710230110297,35,S01_JMT_T04_AddTableToCart,200,OK,Thread Group 1-1,text,true,,722,743,2,2,http://localhost/wp-admin/admin-ajax.php,35,0,0
1710230110338,65,S01_JMT_T01_LaunchApplication,200,OK,Thread Group 1-1,text,true,,11198,343,2,2,http://localhost/,64,0,0
1710230110405,55,S01_JMT_T02_NavigateToTables,200,OK,Thread Group 1-1,text,true,,10099,536,2,2,http://localhost/tables,54,0,0
1710230110637,70,S01_JMT_T01_LaunchApplication,200,OK,Thread Group 1-3,text,true,,11199,343,3,3,http://localhost/,69,0,2
1710230110708,48,S01_JMT_T02_NavigateToTables,200,OK,Thread Group 1-3,text,true,,10099,536,3,3,http://localhost/tables,47,0,0
1710230112381,60,S01_JMT_T03_SelectATable,200,OK,Thread Group 1-2,text,true,,9833,563,3,3,http://localhost/products/living-room-table8,59,0,3
1710230112445,31,S01_JMT_T04_AddTableToCart,200,OK,Thread Group 1-2,text,true,,722,743,3,3,http://localhost/wp-admin/admin-ajax.php,31,0,0
1710230112477,60,S01_JMT_T05_STEP01_NavigateToChairs,200,OK,Thread Group 1-2,text,true,,9483,563,3,3,http://localhost/chairs,59,0,0
1710230115638,76,S01_JMT_T01_LaunchApplication,200,OK,Thread Group 1-4,text,true,,11199,343,4,4,http://localhost/,75,0,2
1710230115716,54,S01_JMT_T02_NavigateToTables,200,OK,Thread Group 1-4,text,true,,10099,536,4,4,http://localhost/tables,53,0,0
1710230117219,73,S01_JMT_T03_SelectATable,200,OK,Thread Group 1-1,text,true,,9826,563,4,4,http://localhost/products/living-room-table8,73,0,2
1710230117296,32,S01_JMT_T04_AddTableToCart,200,OK,Thread Group 1-1,text,true,,722,743,4,4,http://localhost/wp-admin/admin-ajax.php,32,0,0
1710230117333,67,S01_JMT_T01_LaunchApplication,200,OK,Thread Group 1-1,text,true,,11198,343,4,4,http://localhost/,66,0,0
1710230117401,57,S01_JMT_T02_NavigateToTables,200,OK,Thread Group 1-1,text,true,,10099,536,4,4,http://localhost/tables,56,0,0
1710230117870,68,S01_JMT_T03_SelectATable,200,OK,Thread Group 1-3,text,true,,9746,563,4,4,http://localhost/products/living-room-table8,67,0,5
1710230117942,29,S01_JMT_T04_AddTableToCart,200,OK,Thread Group 1-3,text,true,,722,743,4,4,http://localhost/wp-admin/admin-ajax.php,29,0,0
1710230117972,57,S01_JMT_T05_STEP01_NavigateToChairs,200,OK,Thread Group 1-3,text,true,,9483,563,4,4,http://localhost/chairs,57,0,0
1710230120623,77,S01_JMT_T01_LaunchApplication,200,OK,Thread Group 1-5,text,true,,11199,343,5,5,http://localhost/,76,0,2
1710230120701,55,S01_JMT_T02_NavigateToTables,200,OK,Thread Group 1-5,text,true,,10099,536,5,5,http://localhost/tables,54,0,0
1710230121855,63,S01_JMT_T05_STEP02_SelectAChair,200,OK,Thread Group 1-2,text,true,,9908,558,5,5,http://localhost/products/modern-chair2,63,0,2
1710230121922,38,S01_JMT_T05_STEP03_AddChairToCart,200,OK,Thread Group 1-2,text,true,,722,758,5,5,http://localhost/wp-admin/admin-ajax.php,38,0,0
1710230124574,68,S01_JMT_T03_SelectATable,200,OK,Thread Group 1-1,text,true,,9802,563,5,5,http://localhost/products/living-room-table8,67,0,3
1710230124644,30,S01_JMT_T04_AddTableToCart,200,OK,Thread Group 1-1,text,true,,722,743,5,5,http://localhost/wp-admin/admin-ajax.php,30,0,0
1710230124675,57,S01_JMT_T05_STEP01_NavigateToChairs,200,OK,Thread Group 1-1,text,true,,9483,563,5,5,http://localhost/chairs,56,0,0
1710230125425,56,S01_JMT_T06_STEP01_OpenCart,200,OK,Thread Group 1-2,text,true,,8830,556,5,5,http://localhost/cart,56,0,0
1710230125626,54,S01_JMT_T05_STEP02_SelectAChair,200,OK,Thread Group 1-3,text,true,,9797,558,5,5,http://localhost/products/modern-chair2,53,0,2
1710230125683,38,S01_JMT_T05_STEP03_AddChairToCart,200,OK,Thread Group 1-3,text,true,,722,758,5,5,http://localhost/wp-admin/admin-ajax.php,38,0,0
1710230125693,76,S01_JMT_T03_SelectATable,200,OK,Thread Group 1-4,text,true,,9818,563,5,5,http://localhost/products/living-room-table8,75,0,2
1710230125773,39,S01_JMT_T04_AddTableToCart,200,OK,Thread Group 1-4,text,true,,722,743,5,5,http://localhost/wp-admin/admin-ajax.php,39,0,0
1710230125726,108,S01_JMT_T01_LaunchApplication,200,OK,Thread Group 1-3,text,true,,11198,343,5,5,http://localhost/,107,0,0
1710230125816,87,S01_JMT_T01_LaunchApplication,200,OK,Thread Group 1-4,text,true,,11198,343,5,5,http://localhost/,86,0,0
1710230125835,69,S01_JMT_T02_NavigateToTables,200,OK,Thread Group 1-3,text,true,,10099,536,5,5,http://localhost/tables,68,0,0
1710230125904,65,S01_JMT_T02_NavigateToTables,200,OK,Thread Group 1-4,text,true,,10099,536,5,5,http://localhost/tables,64,0,0
